"SampleID","CRA","Error","DC13","Material","Species","Site","Phase","Type","Country","Longitude","Latitude","LocQual","Source","Comments"
"BETA-248595",920,40,-24.7,"soil",NA,"Galaniana, Antikythera","M-1: top of zone 6 (146-151cm below surface)","terrace","GRC",23.30480594,35.85807626,"A","Bevan et al. 2013. Human Ecology 41. Entered by: Andrew Bevan.","Soil profile from agricultural terrace. Sample size of ca.382g."
"BETA-248596",520,40,-24.8,"soil",NA,"Galaniana, Antikythera","M-1: top of zone 4 (104-109cm below surface)","terrace","GRC",23.30480594,35.85807626,"A","Bevan et al. 2013. Human Ecology 41. Entered by: Andrew Bevan.","Soil profile from agricultural terrace. Sample size of ca.268g."
"BETA-248597",430,40,-24.8,"soil",NA,"Skariana, Antikythera","SK-1: zone 3 (91-95cm below surface)","terrace","GRC",23.28984856,35.86506873,"A","Bevan et al. 2013. Human Ecology 41. Entered by: Andrew Bevan.","Soil profile from agricultural terrace. Sample size of ca.348g."
"BETA-248598",510,40,-24.8,"soil",NA,"Charchaliana, Antikythera","CH-1: top of zone 2 (36-40cm below surface)","terrace","GRC",23.30406036,35.86674386,"A","Bevan et al. 2013. Human Ecology 41. Entered by: Andrew Bevan.","Soil profile from agricultural terrace. Sample size of ca.242g."
"BETA-248599",230,40,-34.3,"charcoal",NA,"south of Galaniana, Antikythera","M-2: 76 cm below surface","terrace","GRC",23.3104227,35.85207328,"A","Bevan et al. 2013. Human Ecology 41. Entered by: Andrew Bevan.","Soil profile from agricultural terrace. Sample size of <1g."
"TB-318",6390,60,NA,NA,NA,"Chalagan","à 2,4 m de profondeur (vers le milieu du niveau Chalc.)",NA,"Azerbaijan",47.23,40.07,"C","Kiguradze 1986. Materialien zur Allgemeinen und Vergleichenden Archäologie 29, München. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"LE-1084",6125,60,NA,NA,NA,"Gargalar","foyer à 2 , au-dessus du sol vierge",NA,"Azerbaijan",45.37,41.21,"C","Narimanov 1977. Doklady Akademii Nauk Azerbajdzhanskoj SSR 10: 56-58.",NA
"LE-1083",6750,60,NA,NA,NA,"Gargalar","---",NA,"Azerbaijan",45.37,41.21,"C","Narimanov 1977. Doklady Akademii Nauk Azerbajdzhanskoj SSR 10: 56-58. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"LE-434",4870,150,NA,NA,NA,"Kültepe","à 15,35 m de profondeur",NA,"Azerbaijan",45.33,39.24,"C","Dolukhanov a Romanovka 1970, Dolukhanov a Timofeev 1972, Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"LE-163",4880,90,NA,NA,NA,"Kültepe","à 8,5 m de profondeur (niveau du Bronze Ancien)",NA,"Azerbaijan",45.33,39.24,"C","Butomo 1965. Radiocarbon 7: 223-228. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"LE-477",5770,90,NA,NA,NA,"Kültepe","à 18,2 m de profondeur",NA,"Azerbaijan",45.33,39.24,"C","Artemev et al. 1961. Sovetskaja Arkheologija 2: 3-11. Iessen 1965. Materialy i Issledovanija po Arkheologii SSSR 125: 10-36. Mellaart 1975 (details missing); Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.","Banadora: le date reelle n'est calculee faute de renseignements sur la marge d' erreur, LAB 5932 +- 0 BP"
"LE-631",7510,70,NA,NA,NA,"Shomu","à 1 m de profondeur (strates inf. du niveau chalc.)",NA,"Azerbaijan",45.38,41.16,"C","Dolukhanov et al. 1969. Sovetskaja Arkheologija 1: 251-262. Kiguradze 1986. Materialien zur Allgemeinen und Vergleichenden Archäologie 29, München. Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"TF-372",6085,120,NA,NA,NA,"Toire","à 2 m de profondeur (vers le milieau chalc.)",NA,"Azerbaijan",45.28,41.23,"C","Agrawal a Kusumgar 1966, Chataigner 1995. Maison de l´Orient Méditerranéen. BAR International Series 624, Oxford.",NA
"Pta-3435",3700,60,NA,"bone","pgymy hippopotamus, collagen","Akrotiri-Aetokremnos","surface",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: obtained prior to the 1987 test excavation, exact provenience is not known, 13C adjusted"
"Beta-3412",6310,160,NA,"bone","pygmy hippopotamus, burnt","Akrotiri-Aetokremnos","surface",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: obtained prior to the 1987 test excavation, exact provenience is not known, not 13C adjusted"
"Beta-43174",7150,140,NA,"bone","pygmy hippopotamus, burnt","Akrotiri-Aetokremnos","stratum 4B",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.",NA
"UCLA-304",7900,500,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 4B",NA,"Cyprus",33,34.57,"C","Simmons a Wiega 1994.",NA
"Pta-3281",8330,100,NA,"bone","pygmy hippopotamus, burnt","Akrotiri-Aetokremnos","surface",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: obtained prior to the 1987 test excavation, exact provenience is not known, 13C adjusted"
"Tx-5976A",9040,160,NA,"bone","apatite","Akrotiri-Aetokremnos","Stratum 2/4",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991:  7 pygmy hippopotamus bone fragments from the same excavation unit and  level"
"ISGS-1743",9100,790,NA,"bone","total organics from bone","Akrotiri-Aetokremnos","Stratum 2/4",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991:  7 pygmy hippopotamus bone fragments from the same excavation unit and  level as well as TX-5676, the large standard deviation is due to the small amount of total organics, including collagen, in the sample (0.2 g"
"Tx-5833C",9240,420,NA,"bone","humic fraction","Akrotiri-Aetokremnos","Startum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: All three TX-5833 dates are from the soil matrix of Feature 1, the humins fraction is a very small sample consisting of the insoluble fraction"
"Pta-3128",9250,150,NA,"bone","pygmy hippopotamus, burnt","Akrotiri-Aetokremnos","stratum 2/4",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: obtained prior to the 1987 test excavation, exact provenience is not known, 13C adjusted; Manning 1991: sample partially exposed beneath shell layer, and collected before excavation began"
"Tx-5976B",9420,550,NA,"bone","pgymy hippopotamus, collagen","Akrotiri-Aetokremnos","stratum 2/4",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","same sample as Tx-5976A"
"Tx-5833A",9490,120,NA,"organic material","bulk organic carbon","Akrotiri-Aetokremnos","Stratum 2S",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: All three TX-5833 dates are from the soil matrix of Feature 1"
"UCLA-203",10100,370,NA,"shell",NA,"Akrotiri-Aetokremnos","Startum 4B",NA,"Cyprus",33,34.57,"C","Simmons a Wiega 1994.",NA
"Tx-5833B",10150,130,NA,"bone","humic acid fraction","Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: All three TX-5833 dates are from the soil matrix of Feature 1, the greater  age may be due to old carbon in the humic acid fraction"
"Beta-41405",10190,230,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: Same sample as ETH-7331"
"Beta-41000",10420,85,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: AMS sample, LAB= Beta-41000/ETH-7188"
"Beta-41407",10480,300,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: Same sample as ETH-7332"
"Beta-41406",10485,80,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: AMS sample, same sample as Beta-41405, Lab= Beta-41406/ETH-7331"
"Beta-40382",10560,90,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 4C",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: AMS sample, LAB= Beta-40382/ETH-7160"
"Beta-41408",10575,80,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: AMS-sample, same sample as Beta-41407, Lab= Beta-41408/ETH-7332"
"Beta-41002",10770,90,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum lower 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: AMS sample, LAB= Beta-41002/ETH-7189"
"Beta-43176",10770,160,NA,"bone","burnt","Akrotiri-Aetokremnos","Stratum 4B",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.",NA
"UCLA-193",10800,550,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum lower 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","LAB UCL- zu UCLA-; Simmons 1994: LAB= UCLA-201; Simmons 1991: uncorrected date"
"Beta-22811",10810,110,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 2/4",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: in dark midden-like  matrix containing bone and artefacts below exposed shell layer, uncorrected date"
"Beta-40655",10840,270,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum lower 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: this sample is from composite of three small samples, collected from same quadrant and at the same elevation. The sample only received an acid wash in pre-treatment. An extended count was used to minimize the stand"
"SMU-1991",10840,60,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1994: Stratum 2/4 ? Simmons 1991: uncorrected date"
"Pta-3322",10970,100,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: Both determinations are from the same specimen; inner and outher fractions, obtained prior to the 1987 test excavation, exact provenience is not known, uncorrected, Manning 1991: same sample as Pta-3112, exposed shell layer"
"Pta-3112",11000,100,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: Both determinations are from the same specimen; inner and outher fractions, obtained prior to the 1987 test excavation, exact provenience is not known, uncorrected,  Manning 1991: same sample as Pta-3322, exposed shell laye"
"Beta-28795",11030,130,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1991: uncorrected"
"UCLA-194",11200,500,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 4B",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","LABNR UCL- to UCLA-; Simmons 1994: LAB= UCLA-194; Simmons 1991: uncorrected"
"UCLA-192",11700,500,NA,"shell",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","LAB UCL- zu UCLA-; Simmons 1994: LAB= UCLA-192; Simmons 1991: uncorrected"
"Beta-40380",11720,240,NA,"charcoal",NA,"Akrotiri-Aetokremnos","Stratum 2A",NA,"Cyprus",33,34.57,"C","Manning 1991. Antiquity 65: 870-878. Simmons 1991. Antiquity 65: 857-869. Simmons a Wiega 1994.","Simmons 1994: feature 10?; Simmons 1991: This sample is from a ´casual hearth´, the sample was very small, only 0.53 g of pure charcoal. Only received an acid wash in pre-treatment. An extended count was used to minimize the sta"
"P/GX-2848A",7290,465,NA,NA,NA,"Dhali-Agridhi","---",NA,"Cyprus",33.42,35.02,"C","Lehavy 1974 (details missing); Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.",NA
"P-2768",7400,60,NA,NA,NA,"Dhali-Agridhi","---",NA,"Cyprus",33.42,35.02,"C","Meulengracht et al. 1981 (details missing); Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.",NA
"P-2775",7990,80,NA,NA,NA,"Dhali-Agridhi","Aceramic",NA,"Cyprus",33.42,35.02,"C","Meulengracht et al. 1981 (details missing); Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.",NA
"BM-1836",4480,290,NA,NA,NA,"Kalavasos-Ayious","---",NA,"Cyprus",33.3,34.74,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sample K-Ay 11"
